ID_VENTE,ID_ARTICLE,ID_CLIENT,ID_ESTABLISSEMENT,LIBELLE_VENTE,PRIX_VENTE,DEVISE_VENTE,DATE_VENTE
1,ML1212            003001         X,SC000019,1,Polo Homme  Taille 3  Coloris Blanc,96.88,EUR,23-08-2012 13:51
2,ML1212            003007         X,SC000019,1,Polo Homme  Taille 3  Coloris Acidul??,96.88,EUR,06-11-2008 17:01
3,ML1212            004001         X,SC000019,1,Polo Homme  Taille 4  Coloris Blanc,193.75,EUR,27-06-2016 08:05
4,ML1212            004007         X,SC000019,1,Polo Homme  Taille 4  Coloris Acidul??,193.75,EUR,16-09-2015 03:34
5,ML1212            005001         X,SC000019,1,Polo Homme  Taille 5  Coloris Blanc,290.63,EUR,10-03-2017 20:12
6,ML1212            005007         X,SC000019,1,Polo Homme  Taille 5  Coloris Acidul??,290.63,EUR,17-02-2014 12:14
7,ML1212            007001         X,SC000019,1,Polo Homme  Taille 6  Coloris Blanc,193.75,EUR,01-01-2010 14:06
8,ML1212            007007         X,SC000019,1,Polo Homme  Taille 6  Coloris Acidul??,193.75,EUR,01-01-2008 19:37
9,ML1212            008001         X,SC000019,1,Polo Homme  Taille 7  Coloris Blanc,193.75,EUR,26-12-2017 03:40
10,ML1212            008007         X,SC000019,1,Polo Homme  Taille 7  Coloris Acidul??,193.75,EUR,28-12-2012 02:55
11,ML1212            009001         X,SC000019,1,Polo Homme  Taille 8  Coloris Blanc,96.88,EUR,25-02-2010 15:45
12,ML1212            009007         X,SC000019,1,Polo Homme  Taille 8  Coloris Acidul??,96.88,EUR,31-10-2019 11:06
14,ML1512            00300D         X,SC000019,1,Polo Femme  Taille 36  Coloris Baltique,96.88,EUR,17-06-2016 04:02
16,ML1512            00400D         X,SC000019,1,Polo Femme  Taille 38  Coloris Baltique,193.75,EUR,23-03-2018 12:44
18,ML1512            00500D         X,SC000019,1,Polo Femme  Taille 40  Coloris Baltique,96.88,EUR,28-09-2018 02:42
20,ML1512            00600D         X,SC000019,1,Polo Femme  Taille 42  Coloris Baltique,290.63,EUR,11-08-2013 06:19
22,ML1512            00700D         X,SC000019,1,Polo Femme  Taille 44  Coloris Baltique,193.75,EUR,22-07-2013 14:32
